"Source:","/home/emifre/Git/rs-probe/rs-probe.kicad_sch"
"Date:","Wed 09 Mar 2022 02:24:04 PM CET"
"Tool:","Eeschema (6.0.2)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","87"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFPN","Manufacturer","Tolerance"
"1","19","C1, C5, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C22, C23, C28","0.1u","Device:C_Small","passive:C_0402","~","","","25V, X7R"
"2","9","C2, C3, C4, C6, C21, C24, C25, C26, C27","2.2u","Device:C_Small","passive:C_0402","~","","","10V, X5R"
"3","1","D1","LTST-C19HE1WT","Device:LED_RGBA","LED_SMD:LED_LiteOn_LTST-C19HE1WT","https://optoelectronics.liteon.com/upload/download/DS22-2008-0044/LTST-C19HE1WT.pdf","LTST-C19HE1WT or  ‎IN-S66TBTRGB‎","",""
"4","1","D2","20V","Device:D_Zener_Small","Diode_SMD:D_SOD-123F","~","RBS2MM40CTR","",""
"5","1","F1","Fuse_Small","Device:Fuse_Small","Fuse:Fuse_0603_1608Metric","https://www.bourns.com/docs/Product-Datasheets/mffsmf.pdf"," MF-FSMF050X-2","",""
"6","1","J1","USB_C_Receptacle_USB2.0","Connector:USB_C_Receptacle_USB2.0","connectors:USB_C_Receptacle_USB4105","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","C167321 (lcsc.com)","",""
"7","1","J2","Castellated Vias","Connector:Conn_01x09_Female","connectors:1x9_1.5mm_castellated","~","","",""
"8","1","J3","Castellated Vias","Connector:Conn_01x02_Female","connectors:1x2_1.5mm_castellated","~","","",""
"9","1","J4","Castellated Vias","Connector:Conn_01x03_Female","connectors:1x3_1.5mm_castellated","~","","",""
"10","1","J5","tag-connect-swd","connectors:tag-connect-swd","Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical","~","","",""
"11","4","J6, J7, J8, J9","Conn_01x01","Connector_Generic:Conn_01x01","connectors:pad_1.5x2.0mm","~","","",""
"12","2","Q1, Q2","NTZD3155C or CMLDM3757-TR-PBFREE or DMC2400UV-7 or DMG1016VQ-7","mosfet:NTZD3155C","sot:SOT-563","https://www.onsemi.com/pub/Collateral/NTZD3155C-D.PDF","","",""
"13","9","R1, R2, R5, R6, R7, R8, R17, R28, R29","1k","Device:R_Small","passive:R_0402","~","","","1%"
"14","4","R3, R4, R20, R21","5.1k","Device:R_Small","passive:R_0402","~","","","1%"
"15","12","R9, R10, R11, R16, R18, R19, R22, R23, R24, R25, R26, R27","68k","Device:R_Small","passive:R_0402","~","","","1%"
"16","2","R12, R14","47k","Device:R_Small","passive:R_0402","~","","","1%"
"17","2","R13, R15","17.4k","Device:R_Small","passive:R_0402","~","","","1%"
"18","1","SW1","SW_Push","Switch:SW_Push","Button_Switch_SMD:SW_SPST_EVQP2","~","","",""
"19","6","U1, U2, U8, U9, U10, U11","74LVC1T45GM,115","rs-probe:74LVC1T45","Package_TO_SOT_SMD:SOT-886","https://www.diodes.com/assets/Datasheets/74LVC1T45.pdf","","",""
"20","1","U3","W25Q8","Memory_Flash:W25Q32JVZP","son:USON-8-3x2mm-EP","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf","W25Q80DVUXIE","",""
"21","1","U4","NUF8401MNT4G","interface_esd:NUF8401MNT4G","dfn:DFN-16-1EP_1.6x4mm_P0.5mm","http://www.onsemi.com/pub/Collateral/NUF8401MN-D.PDF","","",""
"22","1","U5","STDC14","connectors:STDC14","connectors:PinHeader_2x07_FTSH-107-01-L-DV-K","","FTSH-107-01-L-DV-K","",""
"23","1","U6","RP2040","rp2040:RP2040","qfn:RP2040-QFN-56","","","",""
"24","1","U7","NUF2042XV6T1G","interface_esd:NUF2042XV6T1G","sot:SOT-563","http://www.onsemi.com/pub/Collateral/NUF2030XV6-D.PDF","","",""
"25","1","U12","NCP161AMX330TBG","ldo:NCP161AMX300TBG","dfn:UDFN-4_1x1mm_P0.65mm","https://www.onsemi.com/pub/Collateral/NCP161-D.PDF","NCP161AMX300TBG","ON Semiconductor",""
"26","2","U13, U14","NCP133AMXADJTCG","Regulator_Linear:NCP133AMX100TCG","Package_DFN_QFN:DFN-6-1EP_1.2x1.2mm_P0.4mm_EP0.3x0.94mm_PullBack","http://www.onsemi.com/pub/Collateral/NCP133-D.PDF","","",""
"27","1","X1","12 MHz","Oscillator:ASCO","crystals:Crystal_SMD_2520-4Pin_2.5x2.0mm","https://abracon.com/Oscillators/ASCO.pdf"," ISM95-3251AH-12.000MHZ ","",""
